下料批次,零件,面料,零件外轮廓线坐标
L0005,s000001,M0005,"[[10028.62000, 5.01000], [10028.62000, 69.30000], [10791.71000, 69.30000], [10791.71000, 5.01000], [10028.62000, 5.01000]]"
L0005,s000002,M0005,"[[7639.53000, 5.02000], [6900.23000, 5.13000], [6900.53000, 67.63000], [7639.33000, 68.52000], [7639.53000, 5.02000]]"
L0005,s000003,M0005,"[[138.67000, 1269.25000], [116.58000, 1247.65000], [74.48000, 1249.85000], [75.27000, 1289.46000], [116.47000, 1291.05000], [138.67000, 1269.25000]]"
L0005,s000004,M0005,"[[14967.29000, 218.83000], [14967.69000, 216.34000], [14968.19000, 213.23000], [14968.69000, 210.14000], [14969.09000, 207.63000], [14969.19000, 207.13000], [14969.69000, 204.04000], [14970.19000, 200.94000], [14970.19000, 200.63000], [14970.49000, 199.04000], [14970.69000, 197.23000], [14970.79000, 195.33000], [14970.89000, 194.04000], [14970.89000, 193.63000], [14970.99000, 192.83000], [14970.99000, 191.54000], [14971.09000, 190.33000], [14971.09000, 187.25000], [14971.09000, 186.04000], [14971.09000, 184.04000], [14971.09000, 182.25000], [14970.99000, 180.33000], [14970.79000, 178.43000], [14970.79000, 178.43000], [14970.69000, 177.25000], [14970.59000, 175.93000], [14970.09000, 172.83000], [14969.79000, 171.04000], [14967.89000, 163.75000], [14967.09000, 161.93000], [14966.69000, 161.04000], [14966.39000, 160.33000], [14966.19000, 160.04000], [14965.79000, 159.25000], [14965.29000, 158.33000], [14964.59000, 157.13000], [14964.29000, 156.54000], [14963.19000, 154.83000], [14962.09000, 153.13000], [14960.89000, 151.54000], [14960.49000, 150.93000], [14959.69000, 149.93000], [14958.49000, 148.33000], [14957.19000, 146.83000], [14955.79000, 145.33000], [14955.69000, 145.25000], [14954.39000, 143.93000], [14952.99000, 142.43000], [14951.49000, 141.13000], [14950.29000, 140.04000], [14949.99000, 139.83000], [14948.39000, 138.54000], [14946.79000, 137.25000], [14945.19000, 136.04000], [14945.09000, 136.04000], [14943.59000, 134.83000], [14941.99000, 133.75000], [14940.29000, 132.54000], [14939.69000, 132.13000], [14938.59000, 131.43000], [14936.89000, 130.33000], [14935.19000, 129.33000], [14933.49000, 128.25000], [14931.79000, 127.25000], [14930.09000, 126.13000], [14928.39000, 125.25000], [14928.29000, 125.25000], [14926.59000, 124.25000], [14924.79000, 123.25000], [14922.99000, 122.33000], [14921.19000, 121.33000], [14919.39000, 120.43000], [14917.59000, 119.54000], [14916.59000, 119.04000], [14915.79000, 118.63000], [14911.29000, 116.54000], [14906.69000, 114.43000], [14904.49000, 113.43000], [14902.09000, 112.34000], [14897.49000, 110.34000], [14893.59000, 108.64000], [14892.89000, 108.34000], [14888.29000, 106.34000], [14883.59000, 104.54000], [14882.59000, 104.04000], [14878.89000, 102.64000], [14874.19000, 100.93000], [14869.49000, 99.26000], [14864.69000, 97.54000], [14860.09000, 95.93000], [14859.99000, 95.93000], [14855.19000, 94.34000], [14850.40000, 92.76000], [14845.59000, 91.26000], [14840.90000, 89.64000], [14836.09000, 88.14000], [14831.29000, 86.55000], [14826.49000, 85.05000], [14826.49000, 85.05000], [14792.59000, 75.14000], [14785.29000, 73.26000], [14779.90000, 71.84000], [14776.19000, 70.94000], [14776.09000, 70.84000], [14772.49000, 70.05000], [14768.90000, 69.14000], [14759.69000, 67.05000], [14759.49000, 66.94000], [14750.49000, 64.94000], [14741.40000, 62.94000], [14739.09000, 62.44000], [14735.79000, 61.76000], [14730.29000, 60.64000], [14724.79000, 59.55000], [14719.19000, 58.44000], [14718.59000, 58.34000], [14715.49000, 57.76000], [14711.79000, 57.05000], [14708.09000, 56.44000], [14704.40000, 55.84000], [14696.09000, 54.44000], [14695.09000, 54.34000], [14685.79000, 52.84000], [14676.49000, 51.55000], [14670.90000, 50.75000], [14667.20000, 50.25000], [14665.70000, 49.94000], [14657.90000, 48.94000], [14648.49000, 47.84000], [14639.19000, 46.75000], [14629.90000, 45.64000], [14629.90000, 45.64000], [14630.09000, 41.94000], [14614.90000, 40.05000], [14595.90000, 37.64000], [14593.19000, 37.34000], [14588.29000, 36.76000], [14580.69000, 35.84000], [14573.09000, 35.05000], [14565.49000, 34.14000], [14554.09000, 32.94000], [14553.40000, 32.84000], [14542.59000, 31.64000], [14531.19000, 30.55000], [14523.59000, 29.84000], [14515.90000, 29.14000], [14513.59000, 28.94000], [14508.29000, 28.55000], [14500.69000, 27.94000], [14492.99000, 27.44000], [14485.40000, 27.05000], [14483.59000, 26.94000], [14477.69000, 26.64000], [14470.09000, 26.26000], [14462.40000, 25.84000], [14454.80000, 25.55000], [14453.59000, 25.44000], [14447.09000, 25.26000], [14439.49000, 24.94000], [14431.80000, 24.64000], [14424.19000, 24.44000], [14416.49000, 24.26000], [14413.40000, 24.14000], [14408.90000, 24.05000], [14401.19000, 23.94000], [14393.59000, 23.76000], [14385.90000, 23.64000], [14378.19000, 23.55000], [14373.09000, 23.44000], [14370.59000, 23.44000], [14362.90000, 23.34000], [14355.30000, 23.26000], [14336.09000, 23.14000], [14316.99000, 23.14000], [14297.79000, 23.14000], [14291.40000, 23.26000], [14278.69000, 23.26000], [14259.59000, 23.26000], [14240.40000, 23.34000], [14221.29000, 23.44000], [14209.79000, 23.44000], [14206.69000, 64.64000], [14209.49000, 66.76000], [14206.09000, 67.55000], [14178.69000, 146.44000], [14176.90000, 151.76000], [14215.40000, 149.44000], [14216.59000, 146.44000], [14218.29000, 149.26000], [14267.40000, 146.26000], [14301.59000, 144.64000], [14302.99000, 141.64000], [14304.59000, 144.55000], [14363.19000, 142.05000], [14390.49000, 141.34000], [14417.90000, 141.05000], [14443.69000, 141.26000], [14468.19000, 141.94000], [14469.79000, 139.05000], [14471.09000, 142.05000], [14504.19000, 143.94000], [14535.90000, 146.64000], [14537.69000, 143.84000], [14538.90000, 146.94000], [14561.99000, 149.55000], [14586.59000, 152.76000], [14635.69000, 159.44000], [14684.90000, 166.55000], [14731.90000, 174.64000], [14733.90000, 172.05000], [14734.79000, 175.14000], [14825.90000, 191.64000], [14912.09000, 208.14000], [14914.09000, 205.55000], [14914.99000, 208.74000], [14930.59000, 211.74000], [14932.59000, 209.14000], [14933.49000, 212.34000], [14967.29000, 218.83000]]"
L0005,s000005,M0005,"[[627.54000, 1221.21000], [657.54000, 1242.21000], [721.34000, 1220.01000], [718.94000, 1205.61000], [718.34000, 1202.51000], [715.13000, 1201.01000], [718.34000, 1199.51000], [718.94000, 1196.41000], [721.34000, 1182.01000], [657.54000, 1159.81000], [627.54000, 1180.81000], [640.94000, 1199.51000], [644.94000, 1201.01000], [640.94000, 1202.51000], [627.54000, 1221.21000]]"
L0005,s000006,M0005,"[[5729.82000, 1164.92000], [5729.82000, 1246.82000], [5905.92000, 1246.82000], [5905.92000, 1164.92000], [5729.82000, 1164.92000]]"
L0005,s000007,M0005,"[[5582.36000, 435.38000], [5583.06000, 431.08000], [5583.97000, 425.68000], [5584.76000, 420.28000], [5585.47000, 415.18000], [5585.47000, 414.78000], [5586.16000, 409.38000], [5586.66000, 404.98000], [5586.86000, 403.98000], [5587.16000, 400.68000], [5587.47000, 397.38000], [5587.56000, 395.18000], [5587.56000, 394.80000], [5587.66000, 393.08000], [5587.66000, 390.88000], [5587.66000, 388.68000], [5587.66000, 388.68000], [5587.66000, 386.48000], [5587.56000, 384.30000], [5587.47000, 382.68000], [5587.36000, 380.98000], [5587.16000, 378.80000], [5586.86000, 376.68000], [5586.86000, 376.68000], [5586.56000, 374.48000], [5586.36000, 373.39000], [5586.16000, 372.30000], [5585.97000, 371.30000], [5585.86000, 370.68000], [5585.66000, 370.18000], [5585.47000, 369.08000], [5585.06000, 368.08000], [5584.76000, 367.08000], [5584.66000, 366.89000], [5584.36000, 365.98000], [5584.06000, 364.98000], [5583.66000, 363.98000], [5583.26000, 363.08000], [5582.76000, 361.98000], [5581.86000, 359.98000], [5580.86000, 357.98000], [5579.76000, 356.08000], [5579.66000, 355.89000], [5578.76000, 354.18000], [5577.56000, 352.30000], [5576.36000, 350.48000], [5575.16000, 348.68000], [5574.36000, 347.48000], [5573.86000, 346.88000], [5573.26000, 345.98000], [5572.56000, 345.08000], [5571.26000, 343.58000], [5571.16000, 343.38000], [5569.76000, 341.80000], [5569.06000, 340.98000], [5568.26000, 340.18000], [5567.97000, 339.88000], [5567.47000, 339.38000], [5566.66000, 338.58000], [5565.06000, 337.18000], [5563.47000, 335.68000], [5563.16000, 335.48000], [5561.76000, 334.38000], [5559.97000, 332.98000], [5558.06000, 331.58000], [5557.36000, 330.98000], [5554.66000, 329.08000], [5552.86000, 327.88000], [5552.76000, 327.88000], [5551.06000, 326.68000], [5549.16000, 325.58000], [5547.26000, 324.48000], [5547.26000, 324.38000], [5545.36000, 323.38000], [5543.47000, 322.30000], [5541.56000, 321.18000], [5539.56000, 320.18000], [5537.66000, 319.18000], [5536.86000, 318.88000], [5535.66000, 318.30000], [5533.66000, 317.30000], [5531.76000, 316.38000], [5529.76000, 315.48000], [5527.66000, 314.68000], [5526.06000, 313.98000], [5525.66000, 313.80000], [5522.66000, 312.58000], [5519.56000, 311.30000], [5517.56000, 310.58000], [5515.97000, 309.98000], [5515.47000, 309.80000], [5513.47000, 308.98000], [5508.26000, 307.18000], [5505.76000, 306.38000], [5503.16000, 305.38000], [5497.97000, 303.68000], [5492.76000, 301.98000], [5487.47000, 300.30000], [5483.97000, 299.18000], [5482.26000, 298.68000], [5477.06000, 297.08000], [5471.76000, 295.58000], [5466.47000, 294.09000], [5463.36000, 293.31000], [5461.97000, 292.89000], [5461.16000, 292.69000], [5455.86000, 291.39000], [5450.56000, 290.19000], [5446.76000, 289.39000], [5445.16000, 288.99000], [5439.86000, 287.89000], [5434.47000, 286.81000], [5431.56000, 286.19000], [5429.16000, 285.69000], [5423.76000, 284.59000], [5418.36000, 283.59000], [5412.97000, 282.59000], [5407.56000, 281.69000], [5402.26000, 280.69000], [5400.97000, 280.49000], [5396.86000, 279.81000], [5391.47000, 278.89000], [5386.06000, 277.99000], [5380.66000, 277.09000], [5375.16000, 276.31000], [5369.76000, 275.39000], [5366.97000, 274.99000], [5364.36000, 274.59000], [5358.97000, 273.81000], [5353.56000, 273.09000], [5348.16000, 272.31000], [5342.66000, 271.59000], [5337.26000, 270.81000], [5332.97000, 270.19000], [5298.86000, 266.09000], [5264.76000, 262.31000], [5203.16000, 256.39000], [5200.47000, 253.09000], [5168.66000, 248.99000], [5121.86000, 243.59000], [5066.76000, 239.19000], [5033.97000, 237.89000], [5001.06000, 236.81000], [4843.97000, 236.81000], [4837.16000, 269.89000], [4810.26000, 340.59000], [4762.26000, 342.49000], [4774.47000, 399.59000], [4842.36000, 391.39000], [4876.36000, 387.49000], [4908.97000, 384.31000], [4910.16000, 381.19000], [4911.86000, 384.09000], [4942.97000, 382.39000], [4965.37000, 382.19000], [4986.37000, 382.59000], [4987.97000, 379.69000], [4989.26000, 382.81000], [4997.47000, 383.49000], [5006.97000, 384.89000], [5008.76000, 385.09000], [5010.97000, 385.49000], [5013.26000, 385.89000], [5015.47000, 386.31000], [5015.47000, 386.31000], [5017.76000, 386.69000], [5019.97000, 387.31000], [5022.16000, 387.81000], [5023.97000, 388.39000], [5024.37000, 388.49000], [5026.47000, 389.19000], [5028.66000, 389.89000], [5028.97000, 390.09000], [5030.76000, 390.81000], [5032.87000, 391.59000], [5033.97000, 392.09000], [5034.97000, 392.59000], [5036.97000, 393.59000], [5038.66000, 394.49000], [5038.97000, 394.59000], [5040.97000, 395.81000], [5042.16000, 396.49000], [5043.26000, 397.19000], [5043.26000, 397.19000], [5043.97000, 397.69000], [5044.76000, 398.31000], [5045.47000, 398.89000], [5046.16000, 399.39000], [5046.37000, 399.59000], [5047.16000, 400.31000], [5048.16000, 401.31000], [5049.16000, 402.19000], [5049.26000, 402.31000], [5049.76000, 402.89000], [5050.47000, 403.49000], [5051.06000, 404.19000], [5051.97000, 405.19000], [5051.97000, 405.19000], [5052.76000, 406.31000], [5053.66000, 407.39000], [5054.16000, 408.09000], [5054.26000, 408.31000], [5054.66000, 408.89000], [5055.16000, 409.59000], [5055.56000, 410.39000], [5056.06000, 411.19000], [5056.66000, 412.29000], [5057.16000, 413.19000], [5057.76000, 414.39000], [5058.37000, 415.59000], [5058.66000, 416.39000], [5058.97000, 416.89000], [5059.26000, 417.69000], [5059.66000, 418.59000], [5059.97000, 419.39000], [5060.26000, 420.29000], [5060.47000, 420.69000], [5060.56000, 421.09000], [5060.97000, 422.39000], [5061.37000, 423.69000], [5061.56000, 424.59000], [5061.76000, 425.09000], [5061.87000, 425.49000], [5062.06000, 426.39000], [5062.26000, 427.29000], [5062.66000, 429.49000], [5062.97000, 431.09000], [5063.06000, 431.79000], [5063.37000, 433.99000], [5063.56000, 436.29000], [5063.66000, 437.19000], [5064.16000, 443.29000], [5064.16000, 447.89000], [5067.06000, 449.49000], [5063.97000, 450.89000], [5062.97000, 465.99000], [5061.16000, 482.59000], [5056.47000, 515.58000], [5147.66000, 508.59000], [5152.36000, 493.79000], [5160.16000, 468.99000], [5161.16000, 465.99000], [5162.47000, 462.09000], [5163.66000, 458.29000], [5165.06000, 454.49000], [5166.36000, 450.59000], [5166.66000, 449.79000], [5167.76000, 446.89000], [5169.16000, 443.09000], [5170.36000, 440.29000], [5170.76000, 439.29000], [5172.26000, 435.59000], [5173.86000, 431.89000], [5174.36000, 430.89000], [5175.56000, 428.19000], [5176.56000, 425.99000], [5177.66000, 423.89000], [5178.06000, 422.99000], [5178.76000, 421.69000], [5179.47000, 420.29000], [5180.26000, 418.79000], [5181.06000, 417.39000], [5182.26000, 415.39000], [5182.26000, 415.29000], [5183.56000, 413.29000], [5184.86000, 411.19000], [5186.26000, 409.19000], [5186.97000, 408.19000], [5187.16000, 407.89000], [5188.16000, 406.59000], [5189.66000, 404.69000], [5191.56000, 402.59000], [5190.47000, 399.39000], [5193.66000, 400.59000], [5197.86000, 397.19000], [5203.56000, 393.59000], [5205.36000, 392.69000], [5207.47000, 391.59000], [5209.66000, 390.49000], [5209.76000, 390.49000], [5210.56000, 390.09000], [5211.36000, 389.69000], [5212.26000, 389.39000], [5213.16000, 388.99000], [5214.06000, 388.69000], [5214.97000, 388.31000], [5216.16000, 387.89000], [5216.36000, 387.81000], [5217.76000, 387.39000], [5219.16000, 386.99000], [5220.56000, 386.59000], [5221.97000, 386.31000], [5222.26000, 386.19000], [5222.97000, 386.09000], [5223.86000, 385.99000], [5224.86000, 385.81000], [5227.26000, 385.49000], [5228.66000, 385.39000], [5244.16000, 384.89000], [5259.76000, 385.09000], [5302.36000, 389.99000], [5343.47000, 395.31000], [5345.26000, 392.49000], [5346.26000, 395.69000], [5395.26000, 403.59000], [5445.56000, 412.18000], [5544.66000, 429.48000], [5546.56000, 426.88000], [5547.56000, 429.98000], [5582.36000, 435.38000]]"
L0005,s000008,M0005,"[[12253.49000, 1501.13000], [12253.49000, 1569.93000], [12450.09000, 1569.93000], [12450.09000, 1501.13000], [12253.49000, 1501.13000]]"
L0005,s000009,M0005,"[[8788.29000, 1481.93000], [8779.19000, 1481.12000], [8767.79000, 1480.12000], [8756.39000, 1479.12000], [8744.99000, 1478.23000], [8741.89000, 1477.93000], [8738.09000, 1477.62000], [8731.29000, 1477.23000], [8724.39000, 1476.73000], [8717.59000, 1476.33000], [8714.89000, 1476.23000], [8712.99000, 1476.12000], [8701.59000, 1475.53000], [8690.19000, 1475.03000], [8687.89000, 1474.93000], [8656.09000, 1474.33000], [8624.39000, 1474.03000], [8598.19000, 1474.03000], [8596.79000, 1476.93000], [8595.19000, 1474.12000], [8567.19000, 1475.93000], [8566.09000, 1503.12000], [8555.89000, 1503.33000], [8551.69000, 1553.73000], [8779.09000, 1594.53000], [8784.79000, 1525.12000], [8784.89000, 1524.73000], [8782.09000, 1522.93000], [8785.09000, 1521.73000], [8788.29000, 1481.93000]]"
L0005,s000010,M0005,"[[7075.68000, 72.98000], [7076.07000, 141.88000], [7249.68000, 141.56000], [7249.57000, 73.08000], [7075.68000, 72.98000]]"
